Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.00515	-0.1245161	-0.2176741	-0.04536147	
0.0052	-0.1256042	-0.2195078	-0.04584015	
0.00525	-0.1266897	-0.2213362	-0.04631894	
0.0053	-0.1277727	-0.2231594	-0.04679785	
0.00535	-0.1288533	-0.2249773	-0.04727685	
0.0054	-0.1299314	-0.2267901	-0.04775594	
0.00545	-0.131007	-0.2285976	-0.0482351	
0.0055	-0.1320801	-0.2304	-0.04871431	
0.00555	-0.1331507	-0.2321972	-0.04919358	
0.0056	-0.1342189	-0.2339893	-0.04967287	
0.00565	-0.1352846	-0.2357763	-0.0501522	
0.0057	-0.1363479	-0.2375582	-0.05063153	
0.00575	-0.1374087	-0.239335	-0.05111087	
0.0058	-0.1384671	-0.2411067	-0.05159021	
0.00585	-0.1395231	-0.2428734	-0.05206952	
0.0059	-0.1405766	-0.2446351	-0.05254881	
0.00595	-0.1416277	-0.2463917	-0.05302806	
0.006	-0.1426764	-0.2481434	-0.05350726	
0.00605	-0.1437227	-0.2498901	-0.05398641	
0.0061	-0.1447666	-0.2516318	-0.0544655	
0.00615	-0.145808	-0.2533686	-0.05494451	
0.0062	-0.1468471	-0.2551005	-0.05542343	
0.00625	-0.1478838	-0.2568275	-0.05590227	
0.0063	-0.1489182	-0.2585496	-0.05638101	
0.00635	-0.1499501	-0.2602668	-0.05685964	
0.0064	-0.1509797	-0.2619791	-0.05733816	
0.00645	-0.1520069	-0.2636866	-0.05781655	
0.0065	-0.1530318	-0.2653893	-0.05829482	
0.00655	-0.1540543	-0.2670872	-0.05877294	
0.0066	-0.1550745	-0.2687802	-0.05925093	
0.00665	-0.1560923	-0.2704685	-0.05972876	
0.0067	-0.1571079	-0.272152	-0.06020644	
0.00675	-0.158121	-0.2738308	-0.06068395	
0.0068	-0.1591319	-0.2755048	-0.06116129	
0.00685	-0.1601405	-0.2771742	-0.06163846	
0.0069	-0.1611468	-0.2788388	-0.06211544	
0.00695	-0.1621508	-0.2804987	-0.06259223	
0.007	-0.1631524	-0.2821539	-0.06306884	
0.00705	-0.1641518	-0.2838045	-0.06354523	
0.0071	-0.165149	-0.2854505	-0.06402143	
0.00715	-0.1661438	-0.2870918	-0.06449741	
0.0072	-0.1671364	-0.2887285	-0.06497318	
0.00725	-0.1681268	-0.2903606	-0.06544872	
0.0073	-0.1691149	-0.2919881	-0.06592405	
0.00735	-0.1701007	-0.293611	-0.06639914	
0.0074	-0.1710843	-0.2952293	-0.066874	
0.00745	-0.1720657	-0.2968432	-0.06734861	
0.0075	-0.1730449	-0.2984524	-0.06782299	
0.00755	-0.1740218	-0.3000572	-0.06829711	
0.0076	-0.1749965	-0.3016574	-0.06877098	
0.00765	-0.1759691	-0.3032532	-0.06924459	
0.0077	-0.1769394	-0.3048445	-0.06971795	
0.00775	-0.1779076	-0.3064313	-0.07019104	
0.0078	-0.1788735	-0.3080136	-0.07066386	
0.00785	-0.1798373	-0.3095916	-0.07113642	
0.0079	-0.180799	-0.311165	-0.07160868	
0.00795	-0.1817584	-0.3127341	-0.07208069	
0.007999999	-0.1827157	-0.3142987	-0.0725524	
0.008049999	-0.1836709	-0.315859	-0.07302383	
0.0081	-0.1846239	-0.3174149	-0.07349497	
0.00815	-0.1855748	-0.3189665	-0.07396582	
0.0082	-0.1865236	-0.3205136	-0.07443637	
0.00825	-0.1874702	-0.3220565	-0.07490663	
0.0083	-0.1884148	-0.323595	-0.07537659	
0.00835	-0.1893572	-0.3251292	-0.07584625	
0.0084	-0.1902975	-0.3266591	-0.0763156	
0.00845	-0.1912357	-0.3281847	-0.07678464	
0.0085	-0.1921719	-0.329706	-0.07725338	
0.008549999	-0.193106	-0.331223	-0.0777218	
0.008599999	-0.194038	-0.3327359	-0.0781899	
0.00865	-0.1949679	-0.3342444	-0.07865769	
0.0087	-0.1958958	-0.3357487	-0.07912516	
0.00875	-0.1968216	-0.3372488	-0.07959231	
0.0088	-0.1977454	-0.3387447	-0.08005913	
0.00885	-0.1986671	-0.3402364	-0.08052564	
0.0089	-0.1995868	-0.3417239	-0.0809918	
0.00895	-0.2005045	-0.3432073	-0.08145765	
