Time	LH_BicepsFemorisAnterior R	LH_BicepsFemorisPosterior R	LH_Gastrocnemius R	LH_Illiopsoas R	LH_RectusFemoris R	LH_Soleus R	LH_TibialisAnterior R	LH_Vastii R	
0.00255	0.5137892	0.5335563	0.49979	0.131917	0.4486591	0.4380013	0.4600622	0.3795502	
0.0026	0.5142341	0.53477	0.5000409	0.131917	0.4486591	0.4382162	0.4598752	0.3795936	
0.00265	0.5146692	0.5359588	0.5002889	0.131917	0.4486591	0.4384299	0.4598521	0.3796369	
0.0027	0.5150951	0.5371227	0.500534	0.131917	0.4486591	0.4386431	0.4598521	0.3796802	
0.00275	0.5155128	0.5382633	0.5007751	0.131917	0.4486591	0.4388555	0.4598521	0.3797247	
0.0028	0.5159212	0.5393792	0.5010133	0.131917	0.4486591	0.439067	0.4598521	0.3797691	
0.00285	0.5163214	0.5404729	0.5012484	0.131917	0.4486591	0.4392781	0.4598521	0.3798146	
0.0029	0.516713	0.541544	0.5014806	0.131917	0.4486591	0.439488	0.4598521	0.3798601	
0.00295	0.5170967	0.5425929	0.5017101	0.131917	0.4486591	0.4396971	0.4598521	0.3799063	
0.003	0.5174722	0.54362	0.5019365	0.131917	0.4486591	0.4399056	0.4598521	0.3799525	
0.00305	0.5178404	0.5446253	0.5021594	0.131917	0.4486591	0.4401134	0.4598521	0.3799994	
0.0031	0.5182011	0.5456108	0.50238	0.131917	0.4486591	0.4403204	0.4598521	0.3800463	
0.00315	0.518554	0.5465755	0.5025973	0.131917	0.4486591	0.4405262	0.4598521	0.3800939	
0.0032	0.5188993	0.5475196	0.5028126	0.131917	0.4486591	0.4407318	0.4598521	0.3801414	
0.00325	0.5192383	0.5484443	0.5030246	0.131917	0.4486591	0.4409364	0.4598521	0.3801897	
0.0033	0.5195699	0.5493499	0.5032344	0.131917	0.4486591	0.44114	0.4598521	0.380238	
0.00335	0.5198947	0.5502368	0.5034416	0.131917	0.4486591	0.4413437	0.4598521	0.3802866	
0.0034	0.5202132	0.5511053	0.5036455	0.131917	0.4486591	0.4415461	0.4598521	0.3803356	
0.00345	0.5205251	0.5519555	0.5038469	0.131917	0.4486591	0.4417473	0.4598521	0.3803845	
0.0035	0.5208306	0.5527878	0.5040455	0.131917	0.4486591	0.4419482	0.4598521	0.3804342	
0.00355	0.5211297	0.5536028	0.5042424	0.131917	0.4486591	0.4421479	0.4598521	0.3804834	
0.0036	0.5214229	0.5544004	0.5044361	0.131917	0.4486591	0.4423475	0.4598521	0.3805337	
0.00365	0.52171	0.5551816	0.5046278	0.131917	0.4486591	0.4425459	0.4598521	0.3805833	
0.0037	0.5219919	0.5559467	0.5048163	0.131917	0.4486591	0.4427428	0.4598521	0.3806342	
0.00375	0.5222672	0.5566958	0.5050029	0.131917	0.4486591	0.4429397	0.4598521	0.3806841	
0.0038	0.5225377	0.5574285	0.5051875	0.131917	0.4486591	0.4431361	0.4598521	0.3807347	
0.00385	0.5228026	0.5581461	0.5053689	0.131917	0.4486591	0.4433314	0.4598521	0.3807856	
0.0039	0.5230619	0.5588488	0.5055485	0.131917	0.4486591	0.4435256	0.4598521	0.3808364	
0.00395	0.5233164	0.5595365	0.5057258	0.131917	0.4486591	0.4437197	0.4598521	0.3808876	
0.004	0.5235658	0.5602095	0.5059008	0.131917	0.4486591	0.4439122	0.4598521	0.3809395	
0.00405	0.52381	0.5608685	0.5060744	0.131917	0.4486591	0.4441051	0.4598521	0.3809903	
0.0041	0.5240493	0.5615135	0.5062438	0.131917	0.4486591	0.4442958	0.4598521	0.3810417	
0.00415	0.5242842	0.5621451	0.5064126	0.131917	0.4486591	0.4444861	0.4598521	0.3810935	
0.0042	0.5245142	0.5627627	0.5065787	0.131917	0.4486591	0.4446763	0.4598521	0.3811453	
0.00425	0.5247402	0.5633673	0.5067436	0.131917	0.4486591	0.4448654	0.4598521	0.381197	
0.0043	0.5249613	0.5639594	0.5069054	0.131917	0.4486591	0.4450533	0.4598521	0.3812487	
0.00435	0.525178	0.5645388	0.5070649	0.131917	0.4486591	0.4452409	0.4598521	0.3813011	
0.0044	0.5253907	0.5651053	0.5072233	0.131917	0.4486591	0.4454277	0.4598521	0.3813531	
0.00445	0.5255994	0.5656602	0.5073793	0.131917	0.4486591	0.4456134	0.4598521	0.3814051	
0.0045	0.5258036	0.5662031	0.5075336	0.131917	0.4486591	0.4457987	0.4598521	0.3814573	
0.00455	0.5260043	0.5667342	0.5076854	0.131917	0.4486591	0.4459829	0.4598521	0.3815096	
0.0046	0.526201	0.5672543	0.5078353	0.131917	0.4486591	0.4461663	0.4598521	0.3815618	
0.00465	0.5263937	0.5677631	0.5079834	0.131917	0.4486591	0.4463493	0.4598521	0.3816139	
0.0047	0.5265827	0.5682604	0.5081293	0.131917	0.4486591	0.4465309	0.4598521	0.3816668	
0.00475	0.5267683	0.5687474	0.5082751	0.131917	0.4486591	0.4467129	0.4598521	0.3817193	
0.0048	0.5269504	0.5692239	0.5084173	0.131917	0.4486591	0.4468929	0.4598521	0.3817713	
0.00485	0.5271291	0.5696894	0.5085577	0.131917	0.4486591	0.4470723	0.4598521	0.3818237	
0.0049	0.527304	0.5701451	0.5086972	0.131917	0.4486591	0.4472516	0.4598521	0.3818764	
0.00495	0.527476	0.5705916	0.5088341	0.131917	0.4486591	0.4474292	0.4598521	0.3819291	
0.005	0.527644	0.571028	0.5089702	0.131917	0.4486591	0.4476071	0.4598521	0.3819813	
0.00505	0.5278101	0.571454	0.509104	0.131917	0.4486591	0.4477839	0.4598521	0.3820339	
0.0051	0.5279722	0.5718715	0.5092364	0.131917	0.4486591	0.44796	0.4598521	0.3820865	
0.00515	0.5281312	0.5722794	0.5093669	0.131917	0.4486591	0.4481353	0.4598521	0.3821383	
0.0052	0.5282876	0.5726787	0.5094956	0.131917	0.4486591	0.4483092	0.4598521	0.3821908	
0.00525	0.528441	0.5730687	0.5096228	0.131917	0.4486591	0.4484831	0.4598521	0.3822439	
0.0053	0.5285918	0.5734503	0.5097486	0.131917	0.4486591	0.4486559	0.4598521	0.382296	
0.00535	0.5287394	0.5738236	0.5098723	0.131917	0.4486591	0.448828	0.4598521	0.382348	
0.0054	0.5288845	0.5741888	0.5099953	0.131917	0.4486591	0.4489995	0.4598521	0.3824003	
0.00545	0.5290271	0.5745454	0.5101158	0.131917	0.4486591	0.4491698	0.4598521	0.3824526	
0.0055	0.5291669	0.5748942	0.5102353	0.131917	0.4486591	0.4493398	0.4598521	0.3825052	
0.00555	0.529304	0.5752347	0.5103531	0.131917	0.4486591	0.4495083	0.4598521	0.382557	
0.0056	0.5294389	0.5755681	0.5104703	0.131917	0.4486591	0.4496772	0.4598521	0.3826088	
0.00565	0.5295714	0.5758936	0.5105847	0.131917	0.4486591	0.4498444	0.4598521	0.3826617	
0.0057	0.5297017	0.5762122	0.510698	0.131917	0.4486591	0.4500112	0.4598521	0.3827134	
0.00575	0.529829	0.576523	0.5108098	0.131917	0.4486591	0.4501773	0.4598521	0.3827651	
0.0058	0.5299545	0.5768271	0.510921	0.131917	0.4486591	0.4503431	0.4598521	0.3828171	
0.00585	0.5300775	0.5771236	0.5110294	0.131917	0.4486591	0.4505075	0.4598521	0.3828692	
0.0059	0.5301987	0.5774143	0.5111374	0.131917	0.4486591	0.4506708	0.4598521	0.3829207	
0.00595	0.5303175	0.5776977	0.5112444	0.131917	0.4486591	0.4508341	0.4598521	0.3829727	
0.006	0.5304342	0.5779746	0.5113494	0.131917	0.4486591	0.4509968	0.4598521	0.3830242	
0.00605	0.5305493	0.578245	0.5114536	0.131917	0.4486591	0.4511588	0.4598521	0.3830752	
0.0061	0.5306616	0.5785094	0.5115555	0.131917	0.4486591	0.4513194	0.4598521	0.3831267	
0.00615	0.5307723	0.5787672	0.5116565	0.131917	0.4486591	0.4514797	0.4598521	0.3831781	
0.0062	0.5308815	0.5790188	0.5117564	0.131917	0.4486591	0.4516392	0.4598521	0.3832291	
0.00625	0.5309887	0.5792655	0.511855	0.131917	0.4486591	0.4517978	0.4598521	0.38328	
0.0063	0.5310933	0.5795056	0.5119525	0.131917	0.4486591	0.4519564	0.4598521	0.3833309	
0.00635	0.5311968	0.5797397	0.5120481	0.131917	0.4486591	0.4521132	0.4598521	0.3833826	
0.0064	0.5312984	0.579968	0.5121434	0.131917	0.4486591	0.4522698	0.4598521	0.3834327	
0.00645	0.5313985	0.5801915	0.5122371	0.131917	0.4486591	0.4524257	0.4598521	0.3834839	
0.0065	0.5314965	0.5804094	0.5123296	0.131917	0.4486591	0.4525813	0.4598521	0.3835343	
0.00655	0.5315927	0.5806222	0.5124211	0.131917	0.4486591	0.4527358	0.4598521	0.3835843	
0.0066	0.5316879	0.5808295	0.5125107	0.131917	0.4486591	0.452889	0.4598521	0.383635	
0.00665	0.531781	0.5810315	0.5126	0.131917	0.4486591	0.4530419	0.4598521	0.3836857	
0.0067	0.531873	0.5812285	0.5126867	0.131917	0.4486591	0.4531941	0.4598521	0.3837356	
0.00675	0.5319634	0.5814214	0.5127742	0.131917	0.4486591	0.4533453	0.4598521	0.3837855	
0.0068	0.532052	0.5816091	0.5128595	0.131917	0.4486591	0.4534962	0.4598521	0.3838353	
0.00685	0.5321394	0.581792	0.5129442	0.131917	0.4486591	0.4536473	0.4598521	0.3838852	
0.0069	0.5322251	0.5819698	0.5130274	0.131917	0.4486591	0.4537961	0.4598521	0.3839346	
0.00695	0.5323103	0.5821436	0.51311	0.131917	0.4486591	0.4539452	0.4598521	0.3839844	
0.007	0.5323935	0.5823128	0.5131907	0.131917	0.4486591	0.4540932	0.4598521	0.3840337	
0.00705	0.5324754	0.5824779	0.5132706	0.131917	0.4486591	0.4542401	0.4598521	0.3840827	
0.0071	0.5325557	0.5826387	0.5133498	0.131917	0.4486591	0.4543865	0.4598521	0.384132	
0.00715	0.5326349	0.5827947	0.5134276	0.131917	0.4486591	0.4545325	0.4598521	0.3841808	
0.0072	0.5327131	0.582947	0.5135052	0.131917	0.4486591	0.454678	0.4598521	0.3842301	
0.00725	0.5327898	0.5830953	0.5135807	0.131917	0.4486591	0.4548224	0.4598521	0.3842782	
0.0073	0.5328653	0.58324	0.5136563	0.131917	0.4486591	0.454967	0.4598521	0.384327	
0.00735	0.5329397	0.5833799	0.5137306	0.131917	0.4486591	0.4551101	0.4598521	0.3843758	
0.0074	0.5330133	0.5835167	0.5138037	0.131917	0.4486591	0.4552527	0.4598521	0.3844238	
0.00745	0.5330853	0.5836493	0.513876	0.131917	0.4486591	0.4553947	0.4598521	0.3844718	
0.0075	0.5331562	0.5837784	0.5139472	0.131917	0.4486591	0.4555356	0.4598521	0.3845201	
0.00755	0.533226	0.5839044	0.5140167	0.131917	0.4486591	0.4556756	0.4598521	0.384568	
0.0076	0.5332954	0.5840259	0.5140867	0.131917	0.4486591	0.4558157	0.4598521	0.3846156	
0.00765	0.5333629	0.5841448	0.5141551	0.131917	0.4486591	0.4559552	0.4598521	0.3846627	
0.0077	0.5334302	0.5842597	0.5142226	0.131917	0.4486591	0.4560937	0.4598521	0.3847102	
0.00775	0.5334958	0.5843713	0.5142896	0.131917	0.4486591	0.4562316	0.4598521	0.3847581	
0.0078	0.5335605	0.5844803	0.514355	0.131917	0.4486591	0.4563681	0.4598521	0.3848048	
0.00785	0.5336244	0.5845854	0.5144202	0.131917	0.4486591	0.4565051	0.4598521	0.3848518	
0.0079	0.5336875	0.5846872	0.5144842	0.131917	0.4486591	0.4566409	0.4598521	0.3848984	
0.00795	0.5337497	0.5847863	0.514547	0.131917	0.4486591	0.456776	0.4598521	0.3849455	
0.007999999	0.5338107	0.5848822	0.5146096	0.131917	0.4486591	0.4569101	0.4598521	0.3849921	
0.008049999	0.5338711	0.584975	0.5146707	0.131917	0.4486591	0.457044	0.4598521	0.3850383	
0.0081	0.5339304	0.5850651	0.5147321	0.131917	0.4486591	0.4571773	0.4598521	0.3850845	
0.00815	0.5339894	0.5851524	0.5147919	0.131917	0.4486591	0.4573097	0.4598521	0.3851303	
0.0082	0.5340469	0.5852368	0.5148509	0.131917	0.4486591	0.4574417	0.4598521	0.3851764	
0.00825	0.5341038	0.585318	0.5149087	0.131917	0.4486591	0.4575729	0.4598521	0.3852225	
0.0083	0.5341601	0.5853971	0.5149668	0.131917	0.4486591	0.4577035	0.4598521	0.3852679	
0.00835	0.5342153	0.5854731	0.515023	0.131917	0.4486591	0.4578335	0.4598521	0.3853132	
0.0084	0.5342701	0.5855466	0.5150791	0.131917	0.4486591	0.4579633	0.4598521	0.3853586	
0.00845	0.534324	0.5856175	0.5151341	0.131917	0.4486591	0.4580917	0.4598521	0.3854039	
0.0085	0.5343768	0.5856862	0.5151891	0.131917	0.4486591	0.4582192	0.4598521	0.3854488	
0.008549999	0.5344297	0.5857524	0.5152429	0.131917	0.4486591	0.4583476	0.4598521	0.3854933	
0.008599999	0.5344809	0.5858157	0.5152956	0.131917	0.4486591	0.458474	0.4598521	0.3855382	
0.00865	0.5345321	0.5858765	0.5153483	0.131917	0.4486591	0.4586005	0.4598521	0.3855824	
0.0087	0.5345823	0.5859355	0.5153995	0.131917	0.4486591	0.4587261	0.4598521	0.3856269	
0.00875	0.5346318	0.5859921	0.5154502	0.131917	0.4486591	0.4588503	0.4598521	0.385671	
0.0088	0.5346808	0.5860463	0.5155003	0.131917	0.4486591	0.4589751	0.4598521	0.385715	
0.00885	0.534729	0.586098	0.51555	0.131917	0.4486591	0.459099	0.4598521	0.3857587	
0.0089	0.534777	0.586148	0.5155979	0.131917	0.4486591	0.4592212	0.4598521	0.3858031	
0.00895	0.5348243	0.586196	0.5156465	0.131917	0.4486591	0.4593443	0.4598521	0.385846	
0.009	0.5348707	0.5862412	0.5156937	0.131917	0.4486591	0.4594657	0.4598521	0.3858894	
0.00905	0.5349163	0.5862848	0.5157405	0.131917	0.4486591	0.4595873	0.4598521	0.385933	
0.009099999	0.5349617	0.5863264	0.515787	0.131917	0.4486591	0.459708	0.4598521	0.3859762	
0.009149999	0.5350068	0.5863659	0.5158321	0.131917	0.4486591	0.4598274	0.4598521	0.3860188	
0.0092	0.5350509	0.5864031	0.5158768	0.131917	0.4486591	0.4599474	0.4598521	0.3860616	
0.00925	0.5350943	0.5864388	0.5159217	0.131917	0.4486591	0.4600664	0.4598521	0.3861045	
0.0093	0.5351378	0.5864725	0.5159653	0.131917	0.4486591	0.4601849	0.4598521	0.3861465	
0.00935	0.5351803	0.5865045	0.5160077	0.131917	0.4486591	0.460302	0.4598521	0.386189	
0.0094	0.5352222	0.5865347	0.5160505	0.131917	0.4486591	0.4604191	0.4598521	0.3862311	
0.00945	0.5352637	0.5865626	0.5160918	0.131917	0.4486591	0.4605355	0.4598521	0.3862728	
0.0095	0.5353046	0.5865892	0.516133	0.131917	0.4486591	0.4606514	0.4598521	0.3863145	
0.00955	0.5353452	0.5866139	0.5161734	0.131917	0.4486591	0.4607668	0.4598521	0.3863565	
0.0096	0.5353855	0.5866371	0.5162135	0.131917	0.4486591	0.4608813	0.4598521	0.3863974	
0.009649999	0.5354251	0.5866584	0.5162523	0.131917	0.4486591	0.4609952	0.4598521	0.3864387	
0.009699999	0.5354638	0.5866785	0.5162916	0.131917	0.4486591	0.4611093	0.4598521	0.38648	
0.00975	0.5355028	0.5866963	0.5163298	0.131917	0.4486591	0.4612222	0.4598521	0.3865209	
