Time	LH_HipZ	
2	0.09904597	
2.00005	0.0992127	
2.0001	0.09937912	
2.00015	0.09954525	
2.0002	0.09971374	
2.00025	0.09988208	
2.0003	0.1000503	
2.00035	0.1002184	
2.0004	0.1003863	
2.00045	0.1005542	
2.0005	0.1007219	
2.00055	0.1008896	
2.0006	0.1010572	
2.00065	0.1012249	
2.0007	0.1013924	
2.00075	0.10156	
2.0008	0.1017277	
2.00085	0.1018954	
2.0009	0.1020632	
2.00095	0.102231	
2.001	0.1023989	
2.00105	0.1025668	
2.0011	0.1027348	
2.00115	0.1029027	
2.0012	0.1030705	
2.00125	0.1032384	
2.0013	0.1034061	
2.00135	0.1035739	
2.0014	0.1037415	
2.00145	0.1039089	
2.0015	0.1040762	
2.00155	0.1042433	
2.0016	0.1044103	
2.00165	0.1045771	
2.0017	0.1047437	
2.00175	0.1049101	
2.0018	0.1050764	
2.00185	0.1052425	
2.0019	0.1054085	
2.00195	0.1055745	
2.002	0.1057404	
2.00205	0.1059062	
2.0021	0.1060721	
2.00215	0.106238	
2.0022	0.1064039	
2.00225	0.1065698	
2.0023	0.1067358	
2.00235	0.1069018	
2.0024	0.107068	
2.00245	0.1072342	
2.0025	0.1074005	
2.00255	0.1075668	
2.0026	0.1077331	
2.00265	0.1078996	
2.0027	0.1080661	
2.00275	0.1082326	
2.0028	0.1083991	
2.00285	0.1085656	
2.0029	0.108732	
2.00295	0.1088982	
2.003	0.1090643	
2.00305	0.1092303	
2.0031	0.1093961	
2.00315	0.1095617	
2.0032	0.1097272	
2.00325	0.1098927	
2.0033	0.1100579	
2.00335	0.110223	
2.0034	0.110388	
2.00345	0.1105528	
2.0035	0.1107176	
2.00355	0.1108824	
2.0036	0.1110471	
2.00365	0.1112118	
2.0037	0.1113765	
2.00375	0.1115412	
2.0038	0.111706	
2.00385	0.1118707	
2.0039	0.1120355	
2.00395	0.1122003	
2.004	0.1123652	
2.00405	0.1125302	
2.0041	0.1126953	
2.00415	0.1128604	
2.0042	0.1130256	
2.00425	0.1131908	
2.0043	0.113356	
2.00435	0.1135213	
2.0044	0.1136864	
2.00445	0.1138515	
2.0045	0.1140164	
2.00455	0.1141813	
2.0046	0.1143461	
2.00465	0.1145106	
2.0047	0.1146751	
2.00475	0.1148394	
2.0048	0.1150035	
2.00485	0.1151675	
2.0049	0.1153313	
2.00495	0.1154951	
2.005	0.1156588	
2.00505	0.1158223	
2.0051	0.1159859	
2.00515	0.1161495	
2.0052	0.116313	
2.00525	0.1164766	
2.0053	0.1166401	
2.00535	0.1168037	
2.0054	0.1169673	
2.00545	0.1171309	
2.0055	0.1172946	
2.00555	0.1174584	
2.0056	0.1176222	
2.00565	0.117786	
2.0057	0.11795	
2.00575	0.118114	
2.0058	0.1182781	
2.00585	0.1184422	
2.0059	0.1186063	
2.00595	0.1187703	
2.006	0.1189342	
2.00605	0.119098	
2.0061	0.1192617	
2.00615	0.1194252	
2.0062	0.1195886	
2.00625	0.1197519	
2.0063	0.119915	
2.00635	0.120078	
2.0064	0.1202408	
2.00645	0.1204036	
2.0065	0.1205662	
2.00655	0.1207287	
2.0066	0.1208912	
2.00665	0.1210536	
2.0067	0.1212159	
2.00675	0.1213782	
2.0068	0.1215405	
2.00685	0.1217028	
2.0069	0.1218651	
2.00695	0.1220275	
2.007	0.1221899	
2.00705	0.1223524	
2.0071	0.122515	
2.00715	0.1226777	
2.0072	0.1228404	
2.00725	0.1230031	
2.0073	0.1231659	
2.00735	0.1233288	
2.0074	0.1234916	
2.00745	0.1236545	
2.0075	0.1238173	
2.00755	0.1239801	
2.0076	0.1241428	
2.00765	0.1243053	
2.0077	0.1244678	
2.00775	0.1246301	
2.0078	0.1247923	
2.00785	0.1249544	
2.0079	0.1251163	
2.00795	0.1252781	
2.008	0.1254397	
2.00805	0.1256013	
2.0081	0.1257628	
2.00815	0.1259241	
2.0082	0.1260854	
2.00825	0.1262467	
2.0083	0.1264079	
2.00835	0.1265691	
2.0084	0.1267303	
2.00845	0.1268915	
2.0085	0.1270527	
2.00855	0.1272139	
2.0086	0.1273753	
2.00865	0.1275367	
2.0087	0.1276981	
2.00875	0.1278597	
2.0088	0.1280213	
2.00885	0.128183	
2.0089	0.1283447	
2.00895	0.1285065	
2.009	0.1286683	
2.00905	0.1288301	
2.0091	0.1289918	
2.00915	0.1291535	
2.0092	0.129315	
2.00925	0.1294765	
2.0093	0.1296378	
2.00935	0.1297989	
2.0094	0.1299599	
2.00945	0.1301208	
2.0095	0.1302816	
2.00955	0.1304422	
2.0096	0.1306027	
2.00965	0.1307632	
2.0097	0.1309235	
2.00975	0.1310838	
2.0098	0.131244	
2.00985	0.1314042	
2.0099	0.1315644	
2.00995	0.1317245	
2.01	0.1318847	
2.01005	0.1320449	
2.0101	0.1322051	
2.01015	0.1323654	
2.0102	0.1325257	
2.01025	0.1326861	
2.0103	0.1328466	
2.01035	0.1330072	
2.0104	0.1331678	
2.01045	0.1333284	
2.0105	0.1334891	
2.01055	0.1336498	
2.0106	0.1338105	
2.01065	0.1339712	
2.0107	0.1341318	
2.01075	0.1342923	
2.0108	0.1344527	
2.01085	0.1346129	
2.0109	0.134773	
2.01095	0.1349329	
2.011	0.1350927	
2.01105	0.1352524	
2.0111	0.1354119	
2.01115	0.1355713	
2.0112	0.1357307	
2.01125	0.1358899	
2.0113	0.1360491	
2.01135	0.1362082	
2.0114	0.1363673	
2.01145	0.1365264	
2.0115	0.1366855	
2.01155	0.1368446	
2.0116	0.1370037	
2.01165	0.1371629	
2.0117	0.1373221	
2.01175	0.1374814	
2.0118	0.1376407	
2.01185	0.1378002	
2.0119	0.1379597	
2.01195	0.1381192	
2.012	0.1382788	
2.01205	0.1384385	
2.0121	0.1385982	
2.01215	0.1387578	
2.0122	0.1389175	
2.01225	0.1390771	
2.0123	0.1392365	
2.01235	0.1393958	
2.0124	0.139555	
2.01245	0.1397142	
2.0125	0.1398731	
2.01255	0.1400319	
2.0126	0.1401907	
2.01265	0.1403493	
2.0127	0.1405078	
2.01275	0.1406661	
2.0128	0.1408244	
2.01285	0.1409825	
2.0129	0.1411407	
2.01295	0.1412988	
2.013	0.1414569	
2.01305	0.141615	
2.0131	0.1417731	
2.01315	0.1419312	
2.0132	0.1420894	
2.01325	0.1422476	
2.0133	0.1424059	
2.01335	0.1425642	
2.0134	0.1427226	
2.01345	0.142881	
2.0135	0.1430395	
2.01355	0.1431981	
2.0136	0.1433567	
2.01365	0.1435154	
2.0137	0.1436741	
2.01375	0.1438327	
2.0138	0.1439913	
2.01385	0.1441498	
2.0139	0.1443082	
2.01395	0.1444665	
2.014	0.1446247	
2.01405	0.1447827	
2.0141	0.1449406	
2.01415	0.1450984	
2.0142	0.145256	
2.01425	0.1454135	
2.0143	0.145571	
2.01435	0.1457284	
2.0144	0.1458856	
2.01445	0.1460428	
2.0145	0.1462	
2.01455	0.146357	
2.0146	0.1465141	
2.01465	0.1466711	
2.0147	0.1468282	
2.01475	0.1469853	
2.0148	0.1471424	
2.01485	0.1472996	
2.0149	0.1474569	
2.01495	0.1476143	
2.015	0.1477717	
2.01505	0.1479292	
2.0151	0.1480868	
2.01515	0.1482445	
2.0152	0.1484022	
2.01525	0.1485598	
2.0153	0.1487174	
