Time	LH_HipZ	
2	0.09702927	
2.00005	0.09719812	
2.0001	0.09736706	
2.00015	0.09753595	
2.0002	0.09770486	
2.00025	0.09787379	
2.0003	0.0980428	
2.00035	0.09821185	
2.0004	0.09838094	
2.00045	0.09855005	
2.0005	0.09871914	
2.00055	0.09888822	
2.0006	0.0990573	
2.00065	0.09922637	
2.0007	0.09939533	
2.00075	0.09956419	
2.0008	0.09973294	
2.00085	0.09990153	
2.0009	0.10007	
2.00095	0.1002382	
2.001	0.1004063	
2.00105	0.1005742	
2.0011	0.100742	
2.00115	0.1009096	
2.0012	0.101077	
2.00125	0.1012443	
2.0013	0.1014115	
2.00135	0.1015785	
2.0014	0.1017455	
2.00145	0.1019123	
2.0015	0.1020791	
2.00155	0.1022458	
2.0016	0.1024124	
2.00165	0.1025791	
2.0017	0.1027458	
2.00175	0.1029125	
2.0018	0.1030793	
2.00185	0.1032462	
2.0019	0.1034131	
2.00195	0.1035801	
2.002	0.1037472	
2.00205	0.1039143	
2.0021	0.1040815	
2.00215	0.1042487	
2.0022	0.1044159	
2.00225	0.1045831	
2.0023	0.1047502	
2.00235	0.1049173	
2.0024	0.1050842	
2.00245	0.1052509	
2.0025	0.1054175	
2.00255	0.1055841	
2.0026	0.1057505	
2.00265	0.1059167	
2.0027	0.1060828	
2.00275	0.1062487	
2.0028	0.1064145	
2.00285	0.1065802	
2.0029	0.1067458	
2.00295	0.1069113	
2.003	0.1070769	
2.00305	0.1072424	
2.0031	0.1074079	
2.00315	0.1075734	
2.0032	0.107739	
2.00325	0.1079045	
2.0033	0.1080701	
2.00335	0.1082357	
2.0034	0.1084014	
2.00345	0.1085671	
2.0035	0.1087329	
2.00355	0.1088988	
2.0036	0.1090647	
2.00365	0.1092306	
2.0037	0.1093966	
2.00375	0.1095626	
2.0038	0.1097286	
2.00385	0.1098945	
2.0039	0.1100604	
2.00395	0.1102262	
2.004	0.1103918	
2.00405	0.1105573	
2.0041	0.1107227	
2.00415	0.1108878	
2.0042	0.1110529	
2.00425	0.1112178	
2.0043	0.1113825	
2.00435	0.1115471	
2.0044	0.1117115	
2.00445	0.1118759	
2.0045	0.1120402	
2.00455	0.1122044	
2.0046	0.1123687	
2.00465	0.1125329	
2.0047	0.112697	
2.00475	0.1128613	
2.0048	0.1130255	
2.00485	0.1131899	
2.0049	0.1133543	
2.00495	0.1135187	
2.005	0.1136833	
2.00505	0.1138478	
2.0051	0.1140125	
2.00515	0.1141771	
2.0052	0.1143419	
2.00525	0.1145066	
2.0053	0.1146714	
2.00535	0.1148362	
2.0054	0.1150009	
2.00545	0.1151655	
2.0055	0.1153301	
2.00555	0.1154945	
2.0056	0.1156588	
2.00565	0.1158229	
2.0057	0.1159868	
2.00575	0.1161506	
2.0058	0.1163143	
2.00585	0.1164778	
2.0059	0.1166413	
2.00595	0.1168046	
2.006	0.1169678	
2.00605	0.117131	
2.0061	0.1172939	
2.00615	0.1174567	
2.0062	0.1176196	
2.00625	0.1177826	
2.0063	0.1179458	
2.00635	0.118109	
2.0064	0.1182723	
2.00645	0.1184357	
2.0065	0.1185991	
2.00655	0.1187626	
2.0066	0.1189263	
2.00665	0.1190899	
2.0067	0.1192535	
2.00675	0.1194171	
2.0068	0.1195806	
2.00685	0.1197442	
2.0069	0.1199077	
2.00695	0.1200711	
2.007	0.1202345	
2.00705	0.1203977	
2.0071	0.1205608	
2.00715	0.1207238	
2.0072	0.1208868	
2.00725	0.1210495	
2.0073	0.1212122	
2.00735	0.1213748	
2.0074	0.1215372	
2.00745	0.1216995	
2.0075	0.1218617	
2.00755	0.1220238	
2.0076	0.1221859	
2.00765	0.1223479	
2.0077	0.1225099	
2.00775	0.1226718	
2.0078	0.1228337	
2.00785	0.1229957	
2.0079	0.1231576	
2.00795	0.1233196	
2.008	0.1234817	
2.00805	0.1236438	
2.0081	0.1238059	
2.00815	0.1239681	
2.0082	0.1241304	
2.00825	0.1242927	
2.0083	0.1244551	
2.00835	0.1246175	
2.0084	0.1247799	
2.00845	0.1249424	
2.0085	0.1251048	
2.00855	0.1252671	
2.0086	0.1254294	
2.00865	0.1255916	
2.0087	0.1257536	
2.00875	0.1259155	
2.0088	0.1260773	
2.00885	0.1262389	
2.0089	0.1264004	
2.00895	0.1265618	
2.009	0.126723	
2.00905	0.1268841	
2.0091	0.1270451	
2.00915	0.1272061	
2.0092	0.127367	
2.00925	0.1275279	
2.0093	0.1276888	
2.00935	0.1278496	
2.0094	0.1280104	
2.00945	0.1281712	
2.0095	0.1283321	
2.00955	0.1284931	
2.0096	0.1286541	
2.00965	0.1288151	
2.0097	0.1289761	
2.00975	0.1291371	
2.0098	0.1292983	
2.00985	0.1294595	
2.0099	0.1296208	
2.00995	0.1297822	
2.01	0.1299436	
2.01005	0.1301051	
2.0101	0.1302665	
2.01015	0.1304279	
2.0102	0.1305892	
2.01025	0.1307503	
2.0103	0.1309112	
2.01035	0.1310721	
2.0104	0.1312327	
2.01045	0.1313931	
2.0105	0.1315534	
2.01055	0.1317136	
2.0106	0.1318736	
2.01065	0.1320335	
2.0107	0.1321934	
2.01075	0.1323532	
2.0108	0.1325129	
2.01085	0.1326727	
2.0109	0.1328323	
2.01095	0.1329921	
2.011	0.1331518	
2.01105	0.1333116	
2.0111	0.1334714	
2.01115	0.1336313	
2.0112	0.1337913	
2.01125	0.1339513	
2.0113	0.1341114	
2.01135	0.1342715	
2.0114	0.1344318	
2.01145	0.134592	
2.0115	0.1347523	
2.01155	0.1349127	
2.0116	0.1350731	
2.01165	0.1352333	
2.0117	0.1353934	
2.01175	0.1355534	
2.0118	0.1357134	
2.01185	0.1358732	
2.0119	0.136033	
2.01195	0.1361927	
2.012	0.1363522	
2.01205	0.1365115	
2.0121	0.1366708	
2.01215	0.1368299	
2.0122	0.1369889	
2.01225	0.1371478	
2.0123	0.1373066	
2.01235	0.1374654	
2.0124	0.1376241	
2.01245	0.1377828	
2.0125	0.1379414	
2.01255	0.1381	
2.0126	0.1382587	
2.01265	0.1384174	
2.0127	0.1385762	
2.01275	0.1387351	
2.0128	0.138894	
2.01285	0.139053	
2.0129	0.1392121	
2.01295	0.1393713	
2.013	0.1395305	
2.01305	0.1396897	
2.0131	0.139849	
2.01315	0.1400082	
2.0132	0.1401675	
2.01325	0.1403267	
2.0133	0.1404859	
2.01335	0.1406449	
2.0134	0.1408038	
2.01345	0.1409625	
2.0135	0.1411208	
2.01355	0.1412792	
2.0136	0.1414376	
2.01365	0.141596	
2.0137	0.1417543	
